Folder Path,File Count,Folder Count,.adt,.anim,.blob,.blp,.bls,.db,.dbc,.delete,.m2,.mp3,.not,.skin,.test,.trs,.txt,.uvw,.wav,.wdl,.wdt,.wfx,.what,.wmo,.wtf,[NO_EXTENSION]
C:\Users\ehsra\Documents\GitHub\WMVxTOPNG\ModelsTree\Creature\AirElemental,7,0,0,0,0,4,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\ehsra\Documents\GitHub\WMVxTOPNG\ModelsTree\Creature\Akama,50,0,0,44,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\ehsra\Documents\GitHub\WMVxTOPNG\ModelsTree\Creature\Alexstrasza,69,0,0,53,0,6,0,0,0,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\ehsra\Documents\GitHub\WMVxTOPNG\ModelsTree\Creature\AlglontheObserver,25,0,0,18,0,2,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\ehsra\Documents\GitHub\WMVxTOPNG\ModelsTree\Creature\AllianceBomb,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\ehsra\Documents\GitHub\WMVxTOPNG\ModelsTree\Creature\AllianceBrassCannon,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\ehsra\Documents\GitHub\WMVxTOPNG\ModelsTree\Creature\ALLIANCERIDER,5,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\ehsra\Documents\GitHub\WMVxTOPNG\ModelsTree\Creature\Ancientofarcane,6,0,0,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\ehsra\Documents\GitHub\WMVxTOPNG\ModelsTree\Creature\AncientOfLore,4,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\ehsra\Documents\GitHub\WMVxTOPNG\ModelsTree\Creature\AncientOfWar,6,0,0,0,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
C:\Users\ehsra\Documents\GitHub\WMVxTOPNG\ModelsTree\Creature\ANCIENTPROTECTOR,9,0,0,0,0,6,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
